Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,1821.0,1860.0,1797.449951171875,1803.0999755859375,1775.473388671875,138268
2019-01-02,1798.0,1808.699951171875,1772.550048828125,1784.0,1756.6661376953125,50367
2019-01-03,1784.0,1802.5999755859375,1783.25,1787.3499755859375,1759.9647216796875,55705
2019-01-04,1792.0,1800.75,1773.0,1780.25,1752.9735107421875,70687
2019-01-07,1790.3499755859375,1804.199951171875,1782.25,1784.699951171875,1757.355224609375,33148
2019-01-08,1784.0,1792.449951171875,1761.0999755859375,1770.5999755859375,1743.4713134765625,40167
2019-01-09,1780.0999755859375,1795.4000244140625,1774.0,1783.199951171875,1755.8782958984375,94092
2019-01-10,1786.050048828125,1799.0,1779.5,1785.9000244140625,1758.5369873046875,33675
2019-01-11,1795.0,1795.0,1755.0,1768.3499755859375,1741.255859375,330926
2019-01-14,1770.0,1780.3499755859375,1759.0999755859375,1763.5,1736.4801025390625,97941
2019-01-15,1768.1500244140625,1792.25,1768.1500244140625,1787.6500244140625,1760.2601318359375,461060
2019-01-16,1781.199951171875,1793.199951171875,1768.0,1770.0,1742.880615234375,68100
2019-01-17,1779.699951171875,1789.0,1743.25,1750.0999755859375,1723.2855224609375,174069
2019-01-18,1757.0,1768.6500244140625,1728.6500244140625,1743.699951171875,1716.9833984375,193635
2019-01-21,1762.949951171875,1762.949951171875,1736.5,1748.300048828125,1721.5130615234375,188443
2019-01-22,1744.5,1754.0,1742.0,1749.9000244140625,1723.088623046875,123940
2019-01-23,1752.5,1783.5999755859375,1750.5,1765.699951171875,1738.6463623046875,180622
2019-01-24,1766.0,1782.5,1755.800048828125,1758.75,1731.8028564453125,167731
2019-01-25,1765.8499755859375,1777.5,1748.5,1753.0,1726.1409912109375,75831
2019-01-28,1764.0,1770.5,1737.0,1740.6500244140625,1713.9803466796875,51286
2019-01-29,1748.0,1759.75,1725.0,1751.5,1724.6640625,209274
2019-01-30,1754.0,1760.0999755859375,1726.300048828125,1730.0999755859375,1703.5919189453125,68157
2019-01-31,1746.9000244140625,1772.5,1737.050048828125,1762.25,1735.249267578125,61758
2019-02-01,1767.0,1832.0,1762.0,1796.25,1768.7283935546875,162501
2019-02-04,1798.9000244140625,1822.4000244140625,1796.25,1803.1500244140625,1775.522705078125,294990
2019-02-05,1803.0,1832.5999755859375,1803.0,1821.199951171875,1793.296142578125,233958
2019-02-06,1833.0,1835.6500244140625,1817.0,1828.550048828125,1800.5335693359375,82370
2019-02-07,1830.0,1843.550048828125,1829.0,1836.9000244140625,1808.755615234375,136939
2019-02-08,1841.0,1847.1500244140625,1811.0,1817.4000244140625,1789.5543212890625,129998
2019-02-11,1818.0,1818.0,1797.0,1805.3499755859375,1777.68896484375,31191
2019-02-12,1805.0,1808.050048828125,1789.0,1794.8499755859375,1767.3497314453125,40724
2019-02-14,1794.5,1796.449951171875,1775.9000244140625,1782.199951171875,1754.8935546875,68343
2019-02-15,1792.0,1792.0,1748.5,1773.050048828125,1745.8839111328125,104375
2019-02-18,1775.0,1775.0,1734.949951171875,1752.300048828125,1725.4517822265625,89973
2019-02-19,1753.0,1758.949951171875,1730.5,1738.75,1712.109375,46574
2019-02-20,1740.0,1744.050048828125,1722.0,1733.5999755859375,1707.038330078125,71269
2019-02-21,1740.0,1756.550048828125,1738.050048828125,1753.5999755859375,1726.7318115234375,48856
2019-02-22,1761.949951171875,1771.199951171875,1753.5,1767.800048828125,1740.71435546875,40089
2019-02-25,1775.0,1775.0,1759.5,1770.4000244140625,1743.2744140625,52230
2019-02-26,1770.0,1784.25,1743.0,1767.0,1739.926513671875,78096
2019-02-27,1788.0,1788.0,1729.0,1735.75,1709.1553955078125,46583
2019-02-28,1741.5,1756.6500244140625,1728.0,1731.3499755859375,1704.82275390625,58114
2019-03-01,1739.8499755859375,1748.5,1731.25,1734.949951171875,1708.3675537109375,31689
2019-03-05,1735.5,1739.0,1717.800048828125,1724.199951171875,1697.7822265625,71759
2019-03-06,1737.0,1737.0,1698.0,1700.4000244140625,1674.346923828125,97149
2019-03-07,1717.0,1721.0,1698.5,1703.3499755859375,1677.251708984375,193679
2019-03-08,1711.949951171875,1717.949951171875,1696.0,1701.0,1674.937744140625,144532
2019-03-11,1702.0,1724.5,1702.0,1714.25,1687.9847412109375,66282
2019-03-12,1722.0,1739.0,1715.6500244140625,1734.0999755859375,1707.530517578125,147848
2019-03-13,1743.449951171875,1755.0,1740.9000244140625,1746.1500244140625,1719.3961181640625,74843
2019-03-14,1752.75,1752.75,1728.75,1737.3499755859375,1710.7308349609375,55079
2019-03-15,1741.5,1742.5,1694.75,1698.6500244140625,1672.623779296875,230851
