Date,RELIANCE.BO,TCS.BO,HDFCBANK.BO,HINDUNILVR.BO,INFY.BO,KOTAKBANK.BO,ICICIBANK.BO,LT.BO,AXISBANK.BO,SBIN.BO,GOOGL,AAPL,AMZN,MSFT,NVDA,ADBE,NFLX,TSLA,ORCL,CSCO,Sensex
2019-01-01,1114.047607421875,1836.7967529296875,1061.55419921875,1775.473388671875,647.4561157226562,1249.568603515625,358.53192138671875,1423.52099609375,626.5464477539062,293.6442565917969,52.73400115966797,37.84503936767578,76.95649719238281,95.84603881835938,33.790470123291016,224.57000732421875,267.6600036621094,20.674667358398438,41.502403259277344,36.621498107910156,35891.51953125
2019-01-02,1099.0955810546875,1856.880126953125,1050.926025390625,1756.666015625,651.9857788085938,1239.133544921875,359.2220764160156,1408.3651123046875,617.9595336914062,288.24908447265625,51.27349853515625,34.07539749145508,75.01399993896484,92.32005310058594,31.748958587646484,215.6999969482422,271.20001220703125,20.02400016784668,41.098575592041016,35.289642333984375,35513.7109375
2019-01-03,1084.640380859375,1831.10009765625,1044.1536865234375,1759.9647216796875,650.2810668945312,1235.5885009765625,358.1375732421875,1376.3253173828125,607.0261840820312,285.50244140625,53.903499603271484,35.53004837036133,78.76950073242188,96.61378479003906,33.78302764892578,226.19000244140625,297.57000732421875,21.179332733154297,42.869911193847656,36.879276275634766,35695.1015625
2019-01-04,1091.892822265625,1809.37548828125,1046.87255859375,1752.9736328125,643.6569213867188,1244.9251708984375,360.4051513671875,1371.734130859375,618.9080200195312,291.8294982910156,53.79600143432617,35.45096969604492,81.47550201416016,96.73701477050781,35.571537017822266,229.25999450683594,315.3399963378906,22.33066749572754,43.549076080322266,37.12845993041992,35850.16015625
2019-01-07,1096.2640380859375,1831.2933349609375,1047.9847412109375,1757.355224609375,653.7879028320312,1245.774169921875,362.3277282714844,1366.45166015625,636.4813232421875,290.0638122558594,54.26850128173828,36.126766204833984,82.8290023803711,97.43839263916016,34.68596649169922,232.67999267578125,320.2699890136719,22.356666564941406,43.9437255859375,37.429203033447266,35980.9296875
2019-01-08,1096.7608642578125,1827.8173828125,1039.5069580078125,1743.4713134765625,652.5215454101562,1230.4959716796875,374.8489990234375,1364.427734375,649.910888671875,299.2846374511719,54.08250045776367,36.74026870727539,82.97100067138672,98.83171844482422,35.368125915527344,235.42999267578125,319.9599914550781,22.568666458129883,43.85194396972656,37.222984313964844,36212.91015625
2019-01-09,1101.1820068359375,1822.748291015625,1046.1063232421875,1755.8782958984375,658.3663330078125,1237.136474609375,376.6236877441406,1367.6859130859375,669.03173828125,299.235595703125,53.94150161743164,36.857696533203125,82.81099700927734,98.19668579101562,36.02548599243164,237.77000427246094,324.6600036621094,22.99799919128418,43.888641357421875,37.15424346923828,36106.5
2019-01-10,1098.4498291015625,1823.0863037109375,1042.8189697265625,1758.5369873046875,662.1654052734375,1219.611328125,374.3560485839844,1372.672119140625,661.9924926757812,298.84320068359375,53.2234992980957,36.495819091796875,82.02799987792969,97.43839263916016,36.91849136352539,237.5500030517578,337.5899963378906,23.150667190551758,44.32000732421875,37.36905288696289,36009.83984375
2019-01-11,1090.750244140625,1778.4781494140625,1044.104248046875,1741.255859375,666.0132446289062,1219.5115966796875,373.2221984863281,1352.8756103515625,665.4871826171875,296.7832336425781,52.57550048828125,35.94704055786133,80.8604965209961,96.72752380371094,37.31786346435547,234.55999755859375,332.94000244140625,22.293333053588867,44.21906280517578,37.12845993041992,35853.55859375
2019-01-14,1089.3096923828125,1751.87744140625,1038.518310546875,1736.4801025390625,682.7683715820312,1208.726806640625,368.1446838378906,1317.13330078125,658.3980102539062,294.7723083496094,54.32550048828125,36.682743072509766,83.72799682617188,99.53314208984375,37.17648696899414,242.36000061035156,354.6400146484375,22.961999893188477,44.578407287597656,37.824459075927734,36318.328125
2019-01-15,1122.1943359375,1799.96142578125,1048.5037841796875,1760.2601318359375,707.7547607421875,1210.424560546875,367.306640625,1324.09423828125,659.0968627929688,295.2627868652344,54.47549819946289,37.13089370727539,84.18900299072266,99.88382720947266,36.92096710205078,241.9499969482422,351.3900146484375,23.06999969482422,44.28355026245117,37.77290725708008,36321.2890625
2019-01-16,1126.6649169921875,1805.6580810546875,1047.9847412109375,1742.880615234375,717.49609375,1203.3843994140625,369.8207702636719,1325.5751953125,662.6415405273438,296.97943115234375,54.95600128173828,37.35136413574219,84.66100311279297,100.5852279663086,37.63538360595703,244.39999389648438,353.19000244140625,23.15399932861328,44.762699127197266,37.98771667480469,36374.078125
2019-01-17,1126.366943359375,1829.796630859375,1052.45849609375,1723.285400390625,714.4276123046875,1218.3631591796875,368.09539794921875,1329.1297607421875,675.2722778320312,291.682373046875,55.3650016784668,37.58142852783203,84.80999755859375,102.09231567382812,38.92776107788086,247.50999450683594,339.1000061035156,20.150667190551758,45.39847946166992,38.69231033325195,36386.609375
2019-01-18,1175.2464599609375,1834.9141845703125,1053.521240234375,1716.9835205078125,712.0896606445312,1235.5885009765625,366.6658020019531,1301.5823974609375,663.29052734375,289.5733642578125,53.93149948120117,36.73787307739258,81.6084976196289,100.16820526123047,36.90361404418945,243.85000610351562,325.1600036621094,19.92799949645996,45.094398498535156,38.47749710083008,36578.9609375
2019-01-21,1226.460693359375,1840.1279296875,1061.1092529296875,1721.51318359375,723.53564453125,1265.49609375,366.0249328613281,1297.5836181640625,659.2466430664062,286.7776794433594,54.22050094604492,36.88645935058594,82.0009994506836,101.14447021484375,37.03260040283203,245.13999938964844,321.989990234375,19.172666549682617,45.37084197998047,39.06178283691406,36444.640625
