Date,RELIANCE.NS,TCS.NS,HINDUNILVR.NS,INFY.NS,KOTAKBANK.NS,ICICIBANK.NS,LT.NS,SBIN.NS,ITC.NS,ONGC.NS,NKE,BIDU,NVDA,KO,PYPL,SNAP,MCD,WMT,BABA,PEP,Nifty
2019-01-01,1004.3602905273438,1699.33740234375,1657.5574951171875,580.0429077148438,1247.377197265625,356.70965576171875,1329.8955078125,286.725830078125,230.90647888183594,105.17376708984375,70.37474060058594,162.25,33.790470123291016,40.147369384765625,85.75,5.789999961853027,156.8296356201172,85.89546203613281,134.8867645263672,94.86415100097656,10792.5
2019-01-02,991.2794799804688,1717.64501953125,1642.3726806640625,583.5316772460938,1237.5516357421875,357.5432434082031,1314.76953125,281.2707214355469,229.19122314453125,104.14682006835938,69.12995910644531,154.7100067138672,31.748958587646484,39.89927291870117,82.08999633789062,5.679999828338623,155.79627990722656,85.4537353515625,128.86767578125,93.97872924804688,10672.25
2019-01-03,979.0497436523438,1696.7919921875,1645.8697509765625,583.618896484375,1232.2147216796875,356.2193908691406,1286.6387939453125,278.591064453125,227.76181030273438,100.85350036621094,70.93541717529297,160.9499969482422,33.78302764892578,40.69487380981445,86.2699966430664,5.949999809265137,158.80714416503906,85.98747253417969,137.89630126953125,95.9058609008789,10727.349609375
2019-01-04,984.3357543945312,1676.162109375,1639.7034912109375,576.5542602539062,1244.8834228515625,358.1316223144531,1280.228759765625,284.8595886230469,229.47711181640625,103.19070434570312,71.95215606689453,162.60000610351562,35.571537017822266,40.16448211669922,86.93000030517578,6.210000038146973,160.5352325439453,86.999755859375,141.20187377929688,95.0811767578125,10771.7998046875
2019-01-07,989.8011474609375,1694.9615478515625,1642.6947021484375,585.8428955078125,1243.53662109375,360.5832214355469,1276.3089599609375,283.5675964355469,230.04881286621094,104.7134017944336,72.91190338134766,163.39999389648438,34.68596649169922,40.61788558959961,88.69999694824219,6.400000095367432,160.87376403808594,87.60709381103516,144.84291076660156,95.99267578125,10802.150390625
2019-01-08,989.7115478515625,1691.0765380859375,1629.7183837890625,584.4037475585938,1225.8802490234375,372.792236328125,1274.8331298828125,292.18084716796875,232.17250061035156,104.43012237548828,72.77885437011719,166.63999938964844,35.368125915527344,39.83940124511719,89.55000305175781,6.28000020980835,160.5976104736328,87.32181549072266,149.90487670898438,93.31029510498047,10855.150390625
2019-01-09,995.1768798828125,1685.18212890625,1642.7406005859375,589.6804809570312,1235.207275390625,374.85162353515625,1278.384033203125,292.18084716796875,237.19573974609375,102.90740203857422,72.61732482910156,168.35000610351562,36.02548599243164,40.26713943481445,90.69999694824219,6.21999979019165,161.71998596191406,87.3862533569336,149.6779327392578,93.88324737548828,10821.599609375
2019-01-10,992.2650146484375,1686.611083984375,1643.844970703125,592.8204345703125,1216.5533447265625,372.1548156738281,1284.42529296875,292.42010498046875,236.54232788085938,101.45552062988281,72.25624084472656,166.11000061035156,36.91849136352539,40.498111724853516,90.6500015258789,6.28000020980835,162.4503936767578,87.27581787109375,149.31285095214844,93.89190673828125,10794.9501953125
2019-01-11,983.7982177734375,1645.5299072265625,1628.3837890625,596.1346435546875,1220.1942138671875,371.22320556640625,1263.2117919921875,289.7404479980469,241.23883056640625,102.44705200195312,72.3037109375,163.02999877929688,37.31786346435547,40.3355712890625,90.43000030517578,6.309999942779541,161.426025390625,87.37706756591797,147.2900390625,93.16271209716797,10737.599609375
2019-01-14,982.6782836914062,1619.3629150390625,1623.322265625,612.1826782226562,1208.7724609375,366.1238708496094,1230.2850341796875,287.4914245605469,240.3812255859375,101.59716033935547,74.00469207763672,167.92999267578125,37.17648696899414,40.69487380981445,91.5999984741211,6.539999961853027,161.24789428710938,88.57337951660156,148.87867736816406,94.6124038696289,10886.7998046875
2019-01-15,1012.1102905273438,1668.0799560546875,1647.2041015625,633.7255249023438,1210.41845703125,365.5354919433594,1236.7410888671875,288.68768310546875,242.21896362304688,102.8011703491211,73.81463623046875,169.75,36.92096710205078,40.13881301879883,90.55000305175781,5.639999866485596,159.76028442382812,88.66539001464844,152.78614807128906,94.04816436767578,10890.2998046875
2019-01-16,1017.7100219726562,1670.1785888671875,1631.282958984375,642.6217651367188,1199.794677734375,368.0361022949219,1237.8941650390625,290.12322998046875,240.17701721191406,103.65106964111328,75.19245910644531,168.11000061035156,37.63538360595703,40.25858688354492,90.4000015258789,5.739999771118164,161.32803344726562,89.0242919921875,153.90115356445312,94.81207275390625,10905.2001953125
2019-01-17,1016.4108276367188,1695.3720703125,1611.9105224609375,639.6126708984375,1216.9522705078125,367.34967041015625,1241.4913330078125,284.6203308105469,240.09536743164062,102.69491577148438,76.4468002319336,171.36000061035156,38.92776107788086,40.72909927368164,91.12000274658203,6.179999828338623,162.6285858154297,89.9353256225586,154.93724060058594,95.5499496459961,10906.9501953125
2019-01-18,1061.11865234375,1701.0555419921875,1605.100341796875,637.5194091796875,1237.152587890625,364.79998779296875,1215.52783203125,282.2756042480469,238.05337524414062,103.93435668945312,76.73188018798828,160.38999938964844,36.90361404418945,40.82319641113281,89.94000244140625,5.929999828338623,164.41012573242188,89.7144546508789,150.13182067871094,95.41104125976562,10961.849609375
2019-01-21,1108.917724609375,1708.2601318359375,1607.6771240234375,649.7736206054688,1264.4852294921875,364.50579833984375,1212.4381103515625,279.883056640625,236.787353515625,102.48246765136719,76.49429321289062,163.25999450683594,37.03260040283203,41.2937126159668,90.5,5.989999771118164,165.76405334472656,90.83716583251953,150.01341247558594,96.12287902832031,10922.75
