Date,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open
2/1/2019,41.74000168,56.11449814,81.94400024,103.7799988,20.36133385,36.125,88.36000061,129.0344238,47.36999893,104
3/1/2019,43.56999969,56.54999924,82.75650024,112.8899994,20.46266747,39.06750107,98.91999817,133.1835632,52,105.0999985
4/1/2019,47.90999985,59.3769989,90.00550079,118.9499969,18.84133339,45.81499863,104.9899979,135.2868042,54.47999954,102.1500015
5/1/2019,52.47000122,59.875,96.65450287,130.5299988,15.92333317,45.77750015,113.2099991,134.3690186,56,115.7200012
6/1/2019,43.90000153,53.3465004,88.00050354,123.8499985,12.36733341,33.97750092,111.0899963,121.5105133,52.04999924,105.8000031
7/1/2019,50.79249954,55.05199814,96.14900208,136.6300049,15.34733295,43.14250183,116.7200012,133.4608002,55.25999832,113.2300034
8/1/2019,53.47499847,60.88150024,93.58599854,137,16.17666626,42.28499985,110.4499969,142.3518219,55.84000015,115.3300018
9/1/2019,51.60749817,59.09249878,88.5,136.6100006,14.9386673,41.14500046,107.9199982,128.919693,46.63000107,108.9800034
10/1/2019,56.26750183,61.12450027,87.30000305,139.6600037,16.10000038,43.75,104,139.1873779,49.65000153,118.4000015
11/1/2019,62.38499832,63.29000092,89.40049744,144.2599945,21.08799934,49.90000153,104.6999969,128.585083,46.84999847,126.1999969
12/1/2019,66.81749725,65.12799835,90.22000122,151.8099976,21.95999908,54.11500168,107.9599991,128.5372925,45.25,132.3099976
1/1/2020,74.05999756,67.42050171,93.75,158.7799988,28.29999924,59.6875,109.4700012,129.0630951,48.06000137,139.7899933
2/1/2020,76.07499695,73.08249664,100.5299988,170.4299927,44.91266632,58.92499924,114.3000031,137.906311,46.40000153,132.6600037
3/1/2020,70.56999969,67.56950378,95.32450104,165.3099976,47.4173317,69.22499847,107.4599991,125,40.15000153,116.6299973
4/1/2020,61.625,56.20000076,96.64849854,153,33.59999847,63.91249847,92.72000122,101.6826019,38.16999817,85.09999847
5/1/2020,71.5625,66.20449829,116.8399963,175.8000031,50.33333206,71.08750153,119.8499985,117.7724686,41.72000122,93.5
6/1/2020,79.4375,71.28500366,122.4000015,182.5399933,57.20000076,88.33249664,154.8999939,119.158699,47.15000153,97.75
7/1/2020,91.27999878,70.95850372,137.8995056,203.1399994,72.19999695,95.20749664,174.625,114.9808807,46.54000092,94.88999939
8/1/2020,108.1999969,74.55000305,159.0254974,211.5200043,96.61333466,107.3249969,198.25,118.0688324,47.13999939,97.01999664
9/1/2020,132.7599945,81.60800171,174.4790039,225.5099945,167.3800049,134.8000031,205.5899963,117.4474182,42,99.55000305
10/1/2020,117.6399994,74.18299866,160.3999939,213.4900055,146.9199982,137.5800018,199.2599945,116.9789658,39.09999847,97.12000275
11/1/2020,109.1100006,81.17700195,153.0870056,204.2899933,131.3333282,126.5774994,189.0099945,107.6959839,36.18999863,99.38999939
12/1/2020,121.0100021,88.33300018,159.4250031,214.5099945,199.1966705,134.9225006,217.1499939,118.4512405,43.00999832,120.3399963
1/1/2021,133.5200043,88,163.5,222.5299988,239.8200073,131.0424957,237.8000031,120.3154907,44.31000137,127.5
2/1/2021,133.75,92.22949982,162.1179962,235.0599976,271.4299927,130.5325012,238.3699951,114.6271515,44.91999817,129.3999939
3/1/2021,123.75,102.4000015,156.3945007,235.8999939,230.0366669,138.75,268.894989,115.0573578,45.22000122,149.5200043
4/1/2021,123.6600037,104.6125031,155.8970032,238.4700012,229.456665,135.7225037,248.0399933,127.8776321,51.75,151.8999939
5/1/2021,132.0399933,118.2454987,174.236496,253.3999939,234.6000061,151.25,265.0599976,137.4856567,51.20999908,154.8500061
6/1/2021,125.0800018,118.7220001,162.1750031,251.2299957,209.2666626,162.6999969,261.0799866,138.6233215,52.95999908,165.8699951
7/1/2021,136.6000061,121.7249985,171.7304993,269.6099854,227.9733276,201.25,290.3299866,140.4971313,53.04999924,156.2599945
8/1/2021,146.3600006,135.1170044,167.6549988,286.3599854,233.3333282,197,276.8850098,135.2294464,55.59999847,152.0299988
9/1/2021,152.8300018,145,174.8200073,302.8699951,244.6933289,224.8500061,290.1000061,133.8240967,59.02000046,160.2200012
10/1/2021,141.8999939,134.4474945,164.4505005,282.1199951,259.4666748,207.5,261.4549866,134.7992401,54.59999847,164
11/1/2021,148.9900055,148.0460052,168.0899963,331.3599854,381.6666565,256.4899902,232.6999969,119.5506668,55.86999893,172.0399933
12/1/2021,167.4799957,144,177.25,335.1300049,386.8999939,332.1900024,187.7700043,118.25,55.52999878,161
1/1/2022,177.8300018,145.0549927,167.5500031,335.3500061,382.5833435,298.1499939,191.4100037,134.0700073,62.90000153,159.8600006
2/1/2022,174.0099945,137.5944977,150,310.4100037,311.7366638,251.0399933,172.7700043,133.7599945,55.45000076,148.6900024
3/1/2022,164.6999969,134.8784943,152.7324982,296.3999939,289.8933411,242.9100037,112.7300034,122.6699982,55.52999878,140.0399933
4/1/2022,174.0299988,139.5,164.1495056,309.3699951,360.3833313,273.75,116,129.6600037,56.16999817,137.3999939
5/1/2022,156.7100067,113.4049988,122.401001,277.7099915,286.9233398,185.4100037,87.55000305,133,49.34000015,119.8799973
6/1/2022,149.8999939,114.8550034,122.2559967,275.2000122,251.7200012,187.2400055,85.47000122,139.6699982,45.54999924,132.8699951
7/1/2022,136.0399933,107.9329987,106.2900009,256.3900146,227,148.9900055,69.83999634,141,42.52000046,112.6500015
8/1/2022,161.0099945,115.3000031,134.9600067,277.8200073,301.2766724,181.8200073,87.05000305,130.75,45.06000137,114.5
9/1/2022,156.6399994,108.2799988,126,258.8699951,272.5799866,142.0899963,92.2519989,128.3999939,44.56999969,113.2900009
10/1/2022,138.2100067,96.76000214,113.5800018,235.4100037,254.5,123.4700012,87.52999878,120.1600037,40.66999817,105.6200027
11/1/2022,155.0800018,95.44999695,103.9899979,234.6000061,234.0500031,138.1100006,85,138.25,45.58000183,126.8700027
12/1/2022,148.2100067,101.0199966,96.98999786,253.8699951,197.0800018,169.9900055,79.11000061,149.9799957,49.88000107,138.1799927
1/1/2023,130.2799988,89.58999634,85.45999908,243.0800018,118.4700012,148.5099945,73.69000244,141.1000061,47.86000061,135.2400055
2/1/2023,143.9700012,98.70999908,102.5299988,248,173.8899994,196.9100037,81.33999634,134.4900055,48.38999939,138.2100067
3/1/2023,146.8300018,89.98000336,93.87000275,250.7599945,206.2100067,231.9199982,73.62999725,128.8999939,48.43999863,142.1000061
4/1/2023,164.2700043,102.3899994,102.3000031,286.519989,199.9100037,275.0899963,75.625,130.9700012,52.06000137,129.9100037
5/1/2023,169.2799988,106.8399963,104.9499969,306.9700012,163.1699982,278.3999939,76.02999878,126.3499985,47.20000076,142.2599945
6/1/2023,177.6999969,122.8199997,120.6900024,325.9299927,202.5899963,384.8900146,62.40999985,128.4400024,49.75999832,136.5200043
